iter	Passed	Remaining
0	59	59321
1	64	32034
2	71	23703
3	77	19416
4	86	17213
5	93	15521
6	101	14387
7	109	13615
8	117	12941
9	124	12337
10	133	12003
11	143	11825
12	155	11777
13	161	11404
14	169	11108
15	174	10713
16	179	10405
17	185	10123
18	189	9758
19	193	9472
20	197	9225
21	201	8957
22	204	8707
23	208	8465
24	211	8265
25	214	8053
26	218	7863
27	221	7675
28	223	7496
29	228	7394
30	231	7244
31	234	7104
32	237	6971
33	240	6834
34	243	6726
35	247	6628
36	250	6517
37	253	6409
38	256	6329
39	260	6246
40	266	6223
41	269	6142
42	273	6077
43	277	6037
44	280	5962
45	283	5886
46	287	5831
47	291	5778
48	294	5710
49	297	5650
50	299	5581
51	302	5523
52	306	5482
53	309	5424
54	313	5384
55	316	5329
56	319	5287
57	323	5251
58	327	5224
59	330	5174
60	332	5125
61	335	5077
62	339	5046
63	342	5005
64	345	4967
65	348	4925
66	351	4892
67	355	4877
68	358	4839
69	361	4804
70	364	4765
71	366	4730
72	373	4746
73	378	4730
74	381	4704
75	384	4672
76	390	4678
77	394	4657
78	397	4630
79	402	4625
80	405	4601
81	410	4593
82	413	4565
83	416	4536
84	419	4518
85	422	4495
86	426	4474
87	429	4451
88	433	4433
89	436	4412
90	440	4396
91	442	4371
92	446	4356
93	450	4342
94	453	4323
95	456	4302
96	459	4278
97	462	4259
98	466	4248
99	469	4228
100	473	4215
101	476	4194
102	479	4174
103	483	4167
104	486	4148
105	489	4128
106	492	4108
107	495	4092
108	499	4082
109	502	4063
110	505	4046
111	508	4027
112	511	4012
113	515	4007
114	518	3989
115	523	3987
116	526	3976
117	530	3968
118	533	3951
119	537	3939
120	539	3921
121	542	3904
122	547	3901
123	550	3886
124	552	3869
125	555	3853
126	558	3836
127	561	3823
128	564	3810
129	567	3797
130	570	3786
131	573	3769
132	575	3753
133	579	3743
134	582	3730
135	586	3723
136	588	3709
137	592	3703
138	596	3692
139	599	3684
140	602	3672
141	605	3660
142	609	3652
143	613	3645
144	616	3634
145	619	3622
146	622	3613
147	630	3629
148	633	3616
149	636	3604
150	639	3593
151	642	3587
152	646	3576
153	649	3567
154	653	3561
155	657	3559
156	661	3553
157	665	3544
158	669	3542
159	673	3538
160	677	3528
161	682	3529
162	685	3519
163	688	3511
